Product,Summary
Super Strawberry Body Wash for Kids with Strawberry and Oat Protein - 300 ml,my 2-year-old son adores this sulfate-free and gentle body wash. it makes a great foam and its fragrance lasts long. I use it daily to bathe my daughter.
"Vitamin C Face Scrub for Glowing Skin, With Vitamin C and Walnut For Skin Illumination - 100 g",motherearth vitamin c face scrub has a light aroma and easily rubs into the skin. .
Rice Water Shampoo For Damage Repair - 250ml,this is my all time favourite... don't think so just go for it guys. this is my honest review bcoz i would highly recommend you to try this fermented rice water shampoo.
Rice Hair Oil with Rice Bran and Coconut Oil For Damage Repair - 150ml,has been using rice bran oil for hair for two months. has been using rice bran oil for two months.
"Rice Water Conditioner with Rice Water and Keratin for Damaged, Dry and Frizzy Hair - 250 ml","Mamaearth rice water conditioner has worked wonders for my hair. it has repaired my dull, dry hair and made it smooth in about 6 weeks."
"Tea Tree Face Mask for Acne, with Tea Tree and Salicylic Acid for Acne and Pimples - 100g",the formula is so light and airy cleaned my face really nicely. the texture of the mask is so smooth. it is quite nourishing and refreshing. it is safe as it is made from natural ingredients.
Tea Tree Body Wash With Tea Tree and Neem For Skin Purification - 300 ml ,the quality of body wash is excellent. Feels fresh after use cleans the body very well.the quality of body wash is excellent. Feels fresh after use cleans the body very well.the quality of body wash is excellent.
Ubtan Body Wash With Turmeric and Saffron for Glowing Skin - 300 ml,neem and turmeric body wash has reduced my spots and healed my skin barrier to a great extent. this body wash is a must-buy body wash as it fights sunburn and ubtan is great for skin repair. this body wash has so many particles that provide perfect exfoliation.
CoCo Body Wash With Coffee and Cocoa For Skin Awakening - 300 ml  ,"great coffee body wash for all skin types and age groups is natural and safe. super for black neck to become a white to use this product definitely try The product itself is more enuf to describe what it is. amazingly works on the body and makes my skin feel very soft, moist & fresh after shower."
Charcoal Body Wash With Charcoal and Mint for Deep Cleansing - 300 ml,"the perfect detoxifying charcoal body wash for deep cleansing comes from Mamaearth. it deeply cleanses, detoxifies, and is the best to use for a daily bath. ."
Vitamin C Body Wash with Vitamin C and Honey for Skin Illumination - 300ml,"l loved it My daughter is using vitamin c body wash and tea tree body wash. it is safe, natural, and comes in a really good quantity."
"Retinol Night Cream For Women with Retinol and Bakuchi for Anti Aging, Fine Lines and Wrinkles - 50 g","retinol cream is best for night use and anti ageing bohat glowy face lagta hai. it works well on pigmentation, wrinkles, open pores, and spots too."
Retinol Face Wash with Retinol and Bakuchi for Fine Lines and Wrinkles - 100 ml,"Mamaearth retinol face wash works for reduces fine lines, wrinkles, and wrinkles. it works perfectly fine for my sensitive skin."
Niacin Face Toner with Niacinamide and Witch Hazel for Acne and Open Pores - 200 ml,niacin b3 is one of the best products for acne and pores forever. really it works perfectly and get best results.
Tea Tree Foaming Face Wash with Tea Tree and Salicylic Acid for Acne and Pimples - 150ml,this product is the best salicylic acid face wash for acne and pimples. the main ingredient salicylic acid is best for pimple and acne removal. it removes excess oil from the face and prevents it from developing bumps or pimples.
Tea Tree Face Serum for Acne and Pimples - 30 ml,this tea tree face serum for acne is giving me good and healthy skin since 1 month now. a says it is the best serum for acne prone skin. a says it's the best serum for acne prone skin.
Retinol Face Serum,"the smell is mild and the consistency is fine, which feels perfectly gentle on the skin. the packaging is another perfect thing as it becomes easy to get a perfect quantity of the cream. if someone asks me which is the best retinol serum in India?"
Vitamin C Skincare Regimen Kit,"i have combination skin with lots of post delivery blemishes, open pores and dark spots all over my face, this kit works so amazing over all of my skin related issues. my cousin recommended using the Skin Care Products Vitamin C from Mamaearth."
Tea Tree Hair Oil with Tea Tree and Ginger Oil for Dandruff Free Hair - 250ml,this oil works wonders on all hair types... removes dandruff mames scalp healthier clean... highly recommended. .
Argan Hair Oil with Argan Oil and Avocado Oil for Frizz-Free and Stronger Hair - 250 ml,this argan oil by Mamaearth is completely safe for me and my husband. it helps in reducing frizz and promotes healthy hair. it is also known as avocado oil for hair by Mamaearth.
Ubtan Night Face Mask with Turmeric and Niacinamide for Glowing Skin - 100 g,"this ubtan night face mask with turmeric and niacinamide for Glowing Skin is the best product I have used so far. just cleanse your face, apply a thick layer of it on your face and get glowing skin."
Essential Anti-Hair Fall Kit,the kit works very fast and reduces my hair loss a lot. i use the oil twice a week...keeps my hair clean and manageable.
"Nourishing Bathing Bar Soap For Kids - ( Pack of 5, 75g Each)","super product for babies I have use since 2 yearsMy daughter loves all the flavours, makes bathing to time enjoyable This is third pack that i am using, and so far it has done wat it promises. my daughter loves all the flavours I like your products because it is natural and the fragrance really awesome."
Hyaluronic Bamboo Sheet Mask with Rosehip Oil for Soft and Plump Skin - 25 g,the best hyaluronic acid face sheet mask in both the online and traditional markets. it cleanses out all the dirt from our skin and hydrates deeply. this honey sheet mask helped me treat my insecurities and gave my skin a soothing effect.
Retinol Bamboo Sheet Mask with Retinol and Bakuchi for Fine Lines and Wrinkles - 25 g,"Mamaearth’s retinol bamboo sheet mask is worth the money. it keeps my skin hydrated, reduces pigmentation scars, and makes my skin look bright and beautiful. it is hydrating, brightening, and gives your skin everything it needs!"
Ubtan Bamboo Sheet Mask with Turmeric and Saffron for Skin Brightening - 25 g,mamaearth ubtan bamboo sheet mask for glowing skin is my go-to option when I have very little time to nourish my skin. a toner beforehand actually opens up the pore and prepares your skin to receive the big boost of ingredients in the face sheet mask.
Rice Water Bamboo Sheet Mask with Rice Water and Coconut Milk for Deep Hydration - 25 g ,mamaearth rice sheet mask has made my home care plans easier.
Rose Water Bamboo Sheet Mask with Rose Water and Milk for Glowing Skin - 25 g,
Vitamin C Bamboo Sheet Mask with Vitamin C and Honey for Skin Illumination - 25 g,this is my first time buying a vitamin c sheet mask and I am really glad I chose this. it has visibly brightened the face.it was a perfect ending to my skincare routine.
Charcoal Face Wash and Scrub Combo,a perfect combination of a face wash & scrubMamaearth has made this product a really good package even for gifting purposes. the price is genuine and really pocket friendly making it accessible for anyone to purchase and use it at least once.
Onion Shampoo and Onion Hair Serum Combo,onion shampoo hair care range is just so awesome... helped me grow my hairs in length my hairfall too stopped visibly. great results and very effective .
Hair Fall Reduction Combo,effective as it shows results from the first use. .
Onion Shampoo and Oil Combo,"mamaearth onion range improvement is appreciable customer to this product since last 2 years. it can be effective for those suffering from alopecia areata and pattern hair loss, which are both forms of severe hair loss."
Onion Shampoo for Hair Growth and Hair Fall Control (250 ml) - Pack Of 2,"I really loved other mamaearth products like bodywash,facewash,facepack etc. but as a result it only doubled my hairfall problem."
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 250ml,
Tea Tree Face Wash with Neem for Acne and Pimples - 250ml,neem and tea tree face wash is the best face wash for my acne-prone skin. it has a gentle but effective cleaning effect and keeps skin hydrated after wash. neem is the best face wash for my acne-prone skin.
Spotless Skin Combo: Ubtan Facewash - 100ml and Bye Bye Blemishes Face Cream - 30ml,ubtan face wash is very refreshing with goodness of turmeric and saffron and bye bye blemishes is also very good product with a light smell it is not very oily.
Tea Tree Face Scrub with Tea Tree and Neem for Skin Purification - 100g,"the product ws really amazing fab guys don't think anything just go for it. I learnt scrubing face with beads not use use gel kind exfoliater as for this i used on my ass, private area and armpit. next time will a scrub for body instead of face of haha."
Plant-Based Diaper Pants for Babies – 12-17 kg (Size XL - 30 Diapers),"momearth has always been my go-to shopping for baby stuff. they are plant-based, keep my baby dry, comfortable, and prevent diaper rash. they are free from latex, fragrance, and chlorine bleaching which is a great relief."
Plant-Based Diaper Pants for Babies – 9-14 kg (Size L - 30 Diapers),mamaearth is the most trusted and effective brand ever for the diaper pants range. a biodegradable diaper pant for kids with 2x absorption is a nice initiative in the Indian market. this baby diapers large size keeps the promise of absorbing for 12 hours.
Plant-Based Diaper Pants for Babies – 7-12 kg (Size M - 30 Diapers),"recently bought Mamaearth’s diapers medium size- found it a gentle and thoughtful product in the baby care range. offers 2x absorption, 12 hours leak protection. Totally love this."
Plant-Based Diaper Pants for Babies – 4-6 kg (Size S - 30 Diapers),Mamaearth baby diapers small size is bio-degradable and keeps the baby’s skin rash-free for almost a full day. they are plant-based and toxin-free which means they never cause harm. the softness of the diaper is just like touching the skin of your baby.
Plant-Based Diaper Pants for Babies – 3-5 kg (Size NB - 40 Diapers),Mamaearth's baby Diaper Pants is a plant based diaper. it absorbs more as compared to other diapers and is very gentle on the soft delicate skin of the baby.
Acne Marks Reduction Kit,this acne removal cream for oily skin is my favourite. it works miracle for me. i have acne prone skin and a lot of dark spots left behind.
Onion Scalp Serum with Onion and Niacinamide for Healthy Hair Growth - 50ml,it helps for everything Perfect product for my thin hair...specially onion scalp serum...i give 10 out if 10. My hair is thin and flat...it gives bounce and stop hair fall and promotes new hair growth. would suggest to buy this product.
Vitamin C Body Lotion with Vitamin C and Honey for Radiant Skin - 400 ml  ,this is the absolute best vitamin c body lotion for face and for dry skin. it has a very mild smell and the lotion is very soft and non-sticky. this is the best vitamin c body lotion for body and for dry skin.
Ubtan Body Lotion with Turmeric and Kokum Butter for Glowing Skin - 400 ml,ubtan body lotion is a must have product for winters. it is made up of all natural ingredients and very much safe for all skin types. it's super smooth and buttery soft.
CoCo Body Lotion With Coffee and Cocoa for Intense Moisturization - 400ml ,my skin looks soo supple and smooth. I finally got rid of applying and reapplying the lotion on my skin. this is a miracle.
Rose Body Lotion with Rose Water and Milk For Deep Hydration - 400ml,"this body lotion is a must try for every body who has rough and dry skin. it has a calming and soothing effect, after using it leaves a long lasting fragrance for at least 12 hours. it is a must try for every body who has rough and dry skin."
Mamaearth Fruit Punch Toothpaste,Mamaearth Instant whitening fruit toothpaste for kids is really good. my child enjoys brushing. she loves the fruity taste. it promotes healthy teeth & gums from bacterial growth.
Vitamin C Foaming Face Wash with Vitamin C and Turmeric for Skin Illumination - 150ml,"this vitamin c foaming face wash is the best foaming face wash for women. it helps with dry skin issues like redness and pimples. it is a toxin-free product, so you wouldn’t need to worry about getting harmed."
Anti-Hair Fall Spa Kit,my hair fell reduce in 15 days after hair growth I will see just 15 days so powerfull I didn't expect this result product are so cool luv it Superb quality kit and every bottle packed properly.
Rose Face Toner with Witch Hazel and Rose Water for Pore Tightening - 200ml,rose water toner is the best toner for my skin as per price. it helps in pore tightening skin brightening too. .
Ubtan Hand Cream with Turmeric and Honey for Deep Moisturization - 50g,ubtan hand cream by mamaearth is 1000% hydrating and the best solution for traveling outdoors. .
CoCo Hand Cream with Coffee and Cocoa for Rich Moisturization - 50g,
Micellar Water Foaming Makeup Remover with Rose Water and Glycolic Acid for Makeup Cleansing - 150 ml,Mamaearth Micellar water cleanser is one of the best makeup removers in india. it is made of natural ingredients so no harm to the skin. it also comes with a silicone brush attached to the tip.
Intense Hair Treatment Kit,u mamaearth bhringraj shampoo should be your first choice. it also has Bhringraj which is a plus and has helped me control hair fall.
Vitamin C Face Milk with Vitamin C and Peach for Skin Illumination - 100 ml,"the presence of vitamin C in milk cream helps moisturize my skin and makes it glow. it works for skin types like oily and dry, acne, and fairness."
Tan Removal Combo,the face wash is gentle on skin and doesn't cause dryness and smells super good. .
Argan Shampoo and Conditioner Combo,it is the best combination of shampoo and conditioner that helps in the case of damaged hair. the product is worth and doing what it is claiming. .
BhringAmla Shampoo and Conditioner Combo,"product is GoodMakes hair healthier and voluminous, loved it. it is mentioned Sls free, there will be no foam, and it takes the half bottle to get thoroughly hair washed."
Ubtan Body Scrub with Turmeric and Saffron for Tan Removal - 200 g,ubtan body scrub is the best body scrub to remove tan for me. it removes dead skin cells and germs from the upper layers of the skin. .
Neem Body Scrub with Neem and Tulsi for Skin Purification - 200 g,neem and tulsi give extra glow and make my face blemishes free.
Vitamin C Day Regimen Combo,product suparb i love it nd suit for all skin type I like Your products its help My Skin To Detox in Natural way without any harmness you also plant a tree .
BhringAmla Conditioner with Bhringraj and Amla for Intense Hair Treatment - 250ml,ehampp and conditioner your apple cider vinegar shampoo and conditioner. it leaves my hair smooth and suits my hair perfectly. it has a mild fragrance and reduces tangles.
BhringAmla Shampoo with Bhringraj and Amla for Intense Hair Treatment - 250 ml,bhringraj shampoo is said to curb hair fall while stimulating hair growth and thickening your hair. it's the first time any shampoo has literally stopped my hairfall.
BhringAmla Hair Oil with Bhringraj and Amla for Intense Hair Treatment - 250ml,bhringraj is the best bhringraj oil i've ever used in the world. it has a strong lemonish fragrance which may cause allergy. bhringraj is the best oil for grey hair. it has a not too bad aroma while kneading.
Tan Removal Regimen Kit,bought this tan removal cream for her sister who is dealing with a serious tan problem. the sun tan removal cream by using one can see the result after the first time only. the results are visible only if you take care of your skin.
BhringAmla Hair Mask with Bhringraj and Amla for Intense Hair Treatment - 200 g,bhringamla hair mask is really effective and helpful. keeps your hair strong and shiny after 2 use only.
Dusting Powder with Organic Oatmeal and Arrowroot Powder for Babies - 300g,"momearth dusting powder is the best for babies. it's 100% natural, talc-free and effectively helps prevent rashes. it helps to prevent rashes and excess sweat or smell."
HydraGel Indian Sunscreen with Aloe Vera and Raspberry for Sun Protection - 50 g,"mamaearth hydragel indian sunscreen is the best sunscreen for skin types. it has aloe vera, SPF 50 and is made for Indian skin. an is the best sunscreen for skin types."
Vitamin C Face Wash with Vitamin C and Turmeric for Skin Illumination - 100ml,Mamaearth vitamin c face wash is the best face wash in the world. it works well for men and for wrinkles. it has a light scent of orange which is refreshing.
Vitamin C Day Cream with Vitamin C and SPF 20 for Skin Illumination - 50g,"this is the second time i have ordered a vitamin c face cream from Mamaearth. my skin is tanned with uneven skin tone and in the rainy season, I also develop acne."
Vitamin C Face Mask With Vitamin C and Kaolin Clay for Skin Illumination - 100 g,I am currently obsessed with this vitamin c face mask. it has reduced fine lines and dark patches around my eyes. the best part is it doesn't dry out the skin.
CoCo Face Wash with Coffee and Cocoa for Skin Awakening - 100ml,Mamaearth's coco face wash with coffee and coco is amazing product. it is useful for all skin types and fragrance is tooo tooo good. by now have used many products and have no complaints or regrets whatsoever.
CoCo Face Scrub with Coffee and Cocoa for Rich Exfoliation - 100g,I am using this coffee face scrub for sun tan removal. it has coffee extract which gives soothing effects natural and plant based Free of toxic chemical Must use it. I want to order it again. Brilliant coffee face scrub for sun tan removal.
CoCo Face Mask with Coffee and Cocoa for Skin Awakening - 100g,coffee face pack is the best coffee face pack for skin whitening in india. it works well for pimples and tightens skin pores. ordered the coffee face pack on the same day.
Vitamin C Sleeping Mask with Aloe Vera for Skin Illumination - 100 g,I bought this aloe vera mask overnight for pigmentation on my oily skin. it works like magic and gives instant relief to my facial skin and brightens the dull face. it is very effective and works like magic.
Argan Conditioner with Argan and Apple Cider Vinegar for Frizz-Free and Stronger Hair - 250ml,
Argan Shampoo with Argan and Apple Cider Vinegar for Frizz-free and Stronger Hair - 250 ml,Mamaearth Argan Oil Shampoo has worked wonders on my hair. my hair feels stronger and more manageable than before. my split ends aren’t visible anymore and my hair fall has reduced significantly.
"Soothing Massage Oil for Babies with Sesame, Almond and Jojoba Oil - 200ml","the best massage oil for d Babies... It's been only 2 days since i started using it d results it's showcasing is something worth to buy for. no hard smell, All natural ingredients... So many reasons to fall in luv wid dis product."
Nourishing Hair Oil for Babies with Almond and Avocado Oil - 200 ml,Mamaearth has the best baby hair oil in india for hair dandruff. my 8-year-old niece had itchy and flaky scalp.
Onion Shampoo 400ml and Onion Conditioner 250ml Combo,shampoo is gud to control dandruff and after conditioning my hair gets smooth and straight good product Way of packaging is too good. my hair was frizzy with split ends and dandruff. this combo is absolutely worth it.
Onion Hair Serum and Onion Hair Oil Combo,oil is good but not the serum. oil is good but not the serum.
Deeply Nourishing Body Wash for Babies 400ml and Gentle Cleansing Shampoo 400ml Combo,.
Moisturizing Bathing Bar (Pack of 2) and Gentle Cleansing Shampoo 200ml Combo,.
Deeply Nourishing Body Wash for Babies 200ml and Gentle Cleansing Shampoo 200ml Combo,.
Gentle Cleansing Shampoo 200ml (Pack of 2),the shampoo Smell is mild and wonderful my babies hair smooth and silky. it increases moisture retention and prevents dandruff & any allergens.
"Onion Hair Oil for Hair Regrowth and Hair Fall Control, 250ml",has received two bottled under buy 1 free scheme. has received two bottled under buy 1 get 1 free scheme.
"Charcoal Face Scrub For Oily Skin and Normal skin, with Charcoal and Walnut for Deep Exfoliation - 100g",i bought mamaearth charcoal face scrub about a month ago before the lockdown. ingredients are very cool the combination of charcoal and walnuts which is give instant results. after using this my skin started glowing and shining.
Ubtan Face Scrub with Turmeric and Walnut for Tan Removal - 100g,mamaearth ubtan face scrub is a permanent part of my skin regimen. it removes tan dirt excess oil and cleanses my skin. ubtan scrub is a great exfoliator.
"Vitamin C Face Toner with Vitamin C and Cucumber for Pore Tightening, 200 ml",Mamaearth vitamin c toner is the best toner for all skin types in india. it helps in tightening pores and protecting the skin from acne and breakouts. u can see the effect in 3 to 5 days.
Aloe Vera Gel for Skin and Hair - 300ml,mamaearth's aloe vera gel is the best aloe vera gel in the market. it works well on my face and makes my skin look so radiant. i used this gel for hair and hair for 2 months. i have been using this product for a while now.
"Onion Hair Serum with Onion and Biotin for Strong, Frizz-Free Hair - 100 ml","my hair is silky, shiny and just amazing. I bought this Mamaearth Onion Hair Serum for hair. it contains biotin, which keeps my hair from becoming dry and frizz-free."
Tea Tree Face Wash and Charcoal Face Wash Combo,.
 Skin Correct Face Serum with Niacinamide and Ginger Extract for Acne Marks and Scars - 30 ml,"niacinamide serum is the greatest niacinamide serum in the world. it works well on my skin from deep and reduces pimple marks. after using it for a month, my skin is clearer and smoother."
" Ubtan Facewash for tan removal, Pack Of 2 ",this is for all skin type in all season. I am using this ubtan de tan kit. I am using my 7th bottle in a row. this is very useful for glowing skin.
"Tea Tree Facewash for acne and pimples, Pack Of 2 ",great products of all range The face wash is very usefull for Ache and pimples. i have tried alot of medical products for my pimples but they were useless. instead this facewash works within a week and gets smooth fase.
Skin Illuminate Face Serum for Radiant Skin with Vitamin C and Turmeric - 30 g,Mamaearth skin illuminate face serum is the best for oily skin. has been using it for over a month. has been using it for over a month.
Bye Bye Dark Circles Eye Cream with Cucumber and Peptides for Dark Circles - 20ml,mamaearth bye bye bye dark circles cream is the best under eye cream for dark circles in india. it works perfectly on pigmented skin and helps in removing ageing signs. a friend of mine asked me to use this cream for 10 days. i found this cream and bought it for my brother.
Onion Shampoo with Onion & Plant Keratin for Hair Fall Control - 400ml,the onion shampoo ingredients are best for all hair types and Gentle surfactants to cleanse hair & scalp without stripping. it stopped my hairfall and split ends.
"Onion Conditioner for Hair Growth and Hair Fall Control with Onion and Coconut, 400ml",.
"Skin Plump Serum For Face Glow, with Hyaluronic Acid and Rosehip Oil for Ageless Skin - 30ml",this serum contains hyaluronic acid and rosehip oil. it helps illuminate the skin cells from within. it also reduces the dullness of sunta nned skin. I have been using this serum for a week now.
Tea Tree Anti-Dandruff Hair Regime Kit,.
Tea Tree Shampoo for Dandruff Free Hair - 250ml,i have been using tea tree dandruff shampoo for about 2 months. it works on dandruff and itchy scalp. i have a dry scalp and dandruff problem in the winter.
Wedding Glow Skincare Kit,ubtan facial kit price has just changed the game for my skin. .
"Neem Face Mask with Neem and Tea Tree for Pimples and Zits, 100 ml","this neem face pack for acne and pimples is a must try. it works so efficiently on acne, pimples and scars. neem is a soothing product for my skin."
"Anti-Pollution Daily Face Cream, for Dry and Oily Skin, with Turmeric and Pollustop For a Bright Glowing Skin  - 80ml",it's a great moisturiser with protection from pollution and UV rays. .
Onion Conditioner for Hair Fall Control - 250ml,is a hair growth booster for damaged and dehydrated hair. the onion conditioner for hair has made my hair stronger and more easier to manage. the onion conditioner for hair has made my hair stronger and so much easier to manage.
Onion Shampoo with Onion and Plant Keratin for Hair Fall Control - 250ml,Mamaearth onion shampoo is a great product for people with severe hair fall. it helps in reducing hair fall and decreases hair frizziness. this shampoo is a great product for people with hair loss.
"Onion Hair Oil for Hair Regrowth and Hair Fall Control with Redensyl, 150ml",onion oil is the best onion hair oil for hair growth in india. i bought this olive oil from mamaearth a few weeks ago. this oil helps in reducing hair fall and preventing hair loss.
Mamaearth Epsom Bath Salt for Relaxation and Pain Relief - 200 g,"mamaearth's epsom bath salt is a nice solution to feel relaxed and to get rid of soreness in the body or muscles. it is natural, toxin-free, and has very simple directions to follow for its usage. my muscles would feel sore after the workouts, and I can now workout better."
"Onion Hair Mask, For Hair Fall Control, With Onion Oil and Organic Bamboo Vinegar, 200ml","my hair was falling at an alarming rate and I was really worried about it until I tried Mamaearth Onion Hair Mask as an honest recommendation from my friend. I am glad I gave this hair mask onion a shot because my hair is back to being all happy and healthy. if healthy hair is your priority, I suggest you try this mask twice a week."
Hair Fall Control Kit,
Tea Tree Conditioner with Tea Tree and Ginger Oil for Dandruff Free Hair 250ml,Mamaearth tea tree oil shampoo and conditioner has helped treat dandruff and scalp dryness. it works like magic on my dry and itchy scalp. it controls my scalp itchiness and gives soothing effect on my hair.
Bye Bye Blemishes Face Cream for Reducing Pigmentation and Blemishes with Mulberry Extract and Vitamin C -30ml,"Mamaearth bye bye blemishes cream is the best cream for pigmentation. it helps in reducing pigmentation and blemishes. despite its long-lasting hydration, it helps in reducing pigmentation."
" Castor Oil for Healthier Skin, Hair and Nails with 100% Pure and Natural Cold-Pressed Oil, 150ml","castor oil is the best multipurpose oil for hair in india. it boosts blood flow to the scalp, which promotes healthier hair. ."
"Hair Regrowth Combo : Onion Shampoo, 250ml and Onion Conditioner, 250ml",good for hairs hairfall reduced after 1 month continue using it The best shampoo and conditioner I have used so far. Excellent product with great discount priceLoved it mamaearth product.
"Aloe Turmeric Gel for Skin and Hair 300ml (Saver Pack, get 20% extra)",this aloe vera gel and turmeric for face is quite good. I read lot of Mamaearth aloe vera review before purchase. i have severe cystic acne issues and am allergic to turmeric.
Aloe Turmeric Gel for Skin and Hair 150ml,aloe vera and turmeric benefits in clearing pimples and scars. it is a perfect multipurpose gel for every day use clams.
Tropical Garden Body Mist For Babies,
Mineral Based Sunscreen 50ml,
"Oil-Free Face Moisturizer for Acne-Prone Skin, 80ml",this moisturizer is the best moisturizer for acne prone skin in india. it helps in balancing the pH level of skin and reduces pimples. it's a non greasy moisturiser which helps in preventing acne breakouts. it's the best moisturizer for acne prone skin.
Sulfate Free Awesome Orange Toothpaste For Kids With Fluoride,"mother in law was searching for a toothpaste for her kids. she found this orange juice flavored toothpaste for her kids. it cleans my baby’s teeth gently, removes plaque, and protects them."
"Moisturizing Bathing Bar Soap For Babies, pack of 4*75 g",. .
"Ultra Light Indian Sunscreen with Carrot Seed, Turmeric and SPF 50 PA+++ - 80ml","mamaearth ultra light indian sunscreen cream is a great sunscreen for all skin types. it is easy to apply, moisturizing without being greasy, and gets soaked into your skin. this sunscreen works as a sun protectant and also improves your skin."
"Skin Lightening and Brightening Combo : Ubtan Facemask, 100ml and Ubtan Facewash, 100ml",the ubtan facewash has helped me very much in getting rid of my tan. the ubtan facewash has helped me very much in getting rid of my tan.
Ubtan Face Mask with Saffron and Turmeric for Skin Brightening and Tan Removal - 100g,mama earth ubtan face pack removes tan and gives skin a dazzling look. it's a natural product that helps me treat a variety of oily skin issues. an an an an.
"Moisturizing Bathing Bar Soap For Babies, pack of 2*75g","mamaearth baby soap is the best soap for baby rashes as it moisturizes and nourishes after every use. the soap is creamy, foamy which gives nice bubbly bath to my baby's skin. mamaearth has a quality of tear free formula which makes it the best quality."
"Tea Tree Anti Dandruff Hair Mask, 200ml",this is my honest Mamaearth tea tree hair mask for dandruff in india. it soothed my scalp by giving deep nourishment and control dandruff completely. my husband and sister-in-law have seen visible results.
"Plant based laundry detergent, 1000ml (Saver Pack, get 40% extra)",u mamaearth is a highly recommended baby laundry detergent for new parents. my grandson is 2 years old and earlier he used to have rashes. this product has helped us with a better way of washing his clothes.
"Plant based laundry detergent, 200ml",recently started using this product for baby clothes. it is so mild just as mentioned it is plant based. also contains neem extract that kills bacteria.
"Breathe Easy Vapour Rub, 50ml",easy breathe baby vapor rub is a perfect vapor rub for infants. it is from chemicals and goes gentle on babies’ skin. .
"Breathe Easy Vapour Roll-on, 40ml",. .
Ubtan Face Wash with Turmeric & Saffron for Tan Removal – 100ml,ubtan face wash is the best face wash for tan removal. it has walnut beads which exfoliates the skin and removes tan. it's a great product for people who want to get rid of tanning and pigmentation.
"Tea Tree Facewash for acne and pimples, 100ml","Mamaearth tea tree face wash works wonders on oily and sensitive skin. it helps in controlling breakouts, giving natural love to my skin. it works on pimples and dark circles like a charm."
"Charcoal Face Wash for oil control, 100ml",mamaearth charcoal face wash is the best product for oily skin. u should definitely give it a try and u will never regret. charcoal face wash works like magic.
"Natural Mosquito Repellent Patches, 24pcs",mosquito repellent patches were found to be very effective for my 5 month baby. this mosquito repellent is a certified product and a mixture of highly powerful ingredients such as citronella and eucalyptus oil. this is the best mosquito repellent bands in india.
"Moisturizing Daily Lotion For Babies, 400ml",
"100% Natural Berry Blast Toothpaste for Kids, 50g",mamaearth has made a strawberry flavour toothpaste for my baby. this toothpaste is 100%vegetarian and made of natural ingredients. it is totally safe is swallowed by mistake and is safe for kids.
"Deeply Nourishing Body Wash for babies, 400ml","Mamaearth deeply nourishing body wash for babies is so gentle and tear-free that my daughter loves to use it every day. it has all the essentials that Baby's skin needs like Vitamin E, Aloe Vera Extract, Orange Essential Oil etc."
"Dusting Powder for Babies, 150g",talc free dusting powder is the best for baby skin rash and allergies. it works well in summers and for rashes too. .
"After Bite Roll On, 40ml",mamaearth after bite roll on is the best product to remove insect bite marks in india. it works on any kind of insect bite and reduces itching and soothes the skin. .
"Easy Tummy Roll On, 40ml","the baby tummy roll on by mamaearth works well for my baby. it is easy to carry, easy to afford, and is safe for regular use.  recommends this product to all the mothers."
"Milky Soft Face Cream With Murumuru Butter for Babies, 60 ml",an recommends a milky soft face cream for babies. it is non-sticky and free from parabens and sulfates. an recommends this product to everyone.
"Nourishing Hair Oil for babies, 100ml",ds oil is very light and effective. it keeps the hair soft and promotes hair growth.
"Gentle Cleansing Shampoo, 400ml","it's just perfect for daily shampoo without going harsh on hairLovely product for my baby but there is no product for 6-15 years old children Best mild shampoo for babies, chemical free, very gentle and makes hairwash perfect."
Organic Bamboo Based Baby Wipes,this is my second order of this baby wipes. I will definitely order again! Mamaearth has the best baby wipes in india. they are made from natural and toxin free wipes.
"Stretch Marks Cream, 100ml",
